run fit1 node1 x1_1 x2_1 fit2 node2 x1_1 x2_1
1 0 0_1 2.941931e-02 2.712462e-01 0 1_1 2.941931e-02 2.712462e-01
1 4.477459e-05 0_2 4.819587e-02 9.396818e-01 4.477459e-05 1_2 4.819587e-02 9.396818e-01
1 7.164119e-03 0_3 3.050094e-02 6.846443e-01 5.505634e-03 1_3 3.050094e-02 6.519969e-01
1 1.406481e+06 0_4 1.413811e-02 4.734519e-01 1.406481e+06 1_4 1.413811e-02 4.734519e-01
1 0 0_5 3.421554e-02 5.834964e-01 0 1_5 3.421554e-02 5.834964e-01
1 0 0_6 3.725686e-02 2.112597e-01 0 1_6 3.725686e-02 2.112597e-01
1 6.053652e-03 0_7 3.992087e-02 9.494143e-01 6.053652e-03 1_7 3.992087e-02 9.494143e-01
1 0 0_8 3.237401e-02 2.074908e-01 0 1_8 3.237401e-02 2.074908e-01
1 0 0_9 4.885308e-02 7.885152e-01 0 1_9 4.885308e-02 7.885152e-01
1 1.643268e+05 0_10 2.585534e-02 7.879057e-01 1.643268e+05 1_10 2.585534e-02 7.879057e-01
1 0 0_11 4.998425e-02 5.221069e-01 0 1_11 4.998425e-02 5.221069e-01
1 0 0_12 2.109070e-02 2.577376e-01 0 1_12 2.109070e-02 2.577376e-01
1 2.225600e+06 0_13 1.166831e-02 3.939021e-01 2.167291e+06 1_13 1.166831e-02 3.848079e-01
1 2.957660e+06 0_14 1.334934e-02 7.608261e-01 2.957660e+06 1_14 1.334934e-02 7.608261e-01
1 2.452379e+06 0_15 1.061567e-02 3.232584e-01 1.658842e+06 1_15 1.209961e-02 3.406540e-01
1 8.227238e-03 0_16 3.211513e-02 7.541477e-01 2.315987e-03 1_16 3.571591e-02 7.132806e-01
1 6.900556e+05 0_17 1.714377e-02 4.897548e-01 6.320232e+05 1_17 1.714377e-02 4.610477e-01
1 1.029205e+06 0_18 1.559203e-02 4.946517e-01 1.029205e+06 1_18 1.559203e-02 4.946517e-01
1 1.195458e+06 0_19 1.697110e-02 7.176359e-01 1.195458e+06 1_19 1.697110e-02 7.176359e-01
1 4.861233e+04 0_20 2.518177e-02 5.465138e-01 3.414633e+04 1_20 2.518177e-02 5.238357e-01
1 8.946830e+06 0_21 1.028749e-02 9.883732e-01 8.946830e+06 1_21 1.028749e-02 9.883732e-01
1 1.347300e+05 0_22 2.383536e-02 5.779428e-01 1.347300e+05 1_22 2.383536e-02 5.779428e-01
